compound_id,mean
563,-643.9460362500001
567,-750.5221385000007
572,-787.4693957499989
577,-1958.5190275000007
578,-3539.302982499989
581,-758.8445699999992
585,-942.4763199999963
587,-783.3281260000018
588,-3549.0507924999974
590,-2249.228105000009
594,-12.704559542399961
612,-681.9830712499988
617,-1773.2086074999995
621,-455.3010297500021
626,-760.0492292499974
629,-639.0983037499992
630,-508.7756897500006
631,-299.4267852500001
634,-2307.9428875000003
635,-2385.9573200000004
649,-298.2985020000003
650,-749.9412597499991
652,-616.4268504999993
654,-2406.1239399999963
658,-518.6204392500005
664,-93.70807515
675,-34.32144800000011
677,-3316.2014149999904
684,18.62501481049999
689,-805.801427500002
701,-375.3011067499988
703,31.038708580432438
708,-3110.410759999999
711,-3353.7494049999905
715,51.728698799999975
739,-528.0904590000006
745,-310.5764679999998
748,-3.370156364604999
751,-748.8950537500001
754,-480.7778029999994
755,-962.0508032499995
764,-916.5657545000007
767,-488.46811549999956
779,-531.2792455000011
784,-89.20674722499987
785,-1750.9995225000002
799,-875.3925037500001
802,-295.23579150000006
806,-2980.116872500002
807,-1094.8879675000014
812,-511.32641300000023
817,-1674.3166349999997
819,-324.78210775000036
831,-955.4911622499999
837,-1597.6593499999974
845,-258.9138632500001
848,-702.9673852500001
851,223.24393924999995
859,-663.9528904999992
866,-231.75416024999967
867,-1045.6584300000009
886,-275.711705750001
888,-607.3155562499991
889,-903.2149235000032
897,-1600.1340375000013
903,-357.17354049999983
905,75.5600347000001
928,-472.14043475
940,-128.27664949999985
941,-786.7974605000029
947,-87.55399062499997
951,-629.3638379999998
954,-1007.335215000001
978,-3369.0378199999923
983,-1406.4521324999992
1011,-3321.703765
1023,-529.5935882500002
1032,-544.6009734999993
1033,-337.9325887499988
1035,-708.1437527500018
1049,-1640.9187150000032
1056,-1579.318664999998
1058,-479.13042174999913
1062,-366.97026250000044
1065,-758.0029837500016
1088,-1555.7933375000005
1095,-1598.0882149999995
1101,-138.88113100000018
1107,23.984387437499976
1116,-776.8452157499987
1122,-1297.2334199999968
1138,-941.2974702500011
