group_name,charge,num_protons,num_mgs,full_name,dgg
-N-,-1,0,0,-N- [H0 Z-1 Mg0],-3.363316896748203e-13
ring =N-,1,1,0,ring =N- [H1 Z1 Mg0],42.33315667970204
ring =N-,0,0,0,ring =N- [H0 Z0 Mg0],86.92095832917279
ring -N-,1,2,0,ring -N- [H2 Z1 Mg0],-1.6513570354385307
ring -N-,0,1,0,ring -N- [H1 Z0 Mg0],50.74264849542745
ring -N-,-1,0,0,ring -N- [H0 Z-1 Mg0],6.268088749495241e-14
ring -N<,1,1,0,ring -N< [H1 Z1 Mg0],-15.401671406185038
ring -N<,0,0,0,ring -N< [H0 Z0 Mg0],98.38204694367887
=N,1,2,0,=N [H2 Z1 Mg0],6.556214034109985
=N,0,1,0,=N [H1 Z0 Mg0],9.68768679232879
ring N-CO-N,0,0,0,ring N-CO-N [H0 Z0 Mg0],-148.8670079854533
N-CO-N,0,0,0,N-CO-N [H0 Z0 Mg0],-161.78267762474007
N-COO,0,1,0,N-COO [H1 Z0 Mg0],7.737243262819182e-14
N-COO,-1,0,0,N-COO [H0 Z-1 Mg0],-331.5757896652941
N-COO-,0,0,0,N-COO- [H0 Z0 Mg0],8.929331793967424e-15
N-CO,0,1,0,N-CO [H1 Z0 Mg0],-128.14901832728097
-N-CO-,0,0,0,-N-CO- [H0 Z0 Mg0],-183.37472496387105
N-CO-,0,0,0,N-CO- [H0 Z0 Mg0],-168.26694693296545
-N,1,3,0,-N [H3 Z1 Mg0],-9.805203188890246
-N,0,2,0,-N [H2 Z0 Mg0],17.7678273542613
-N,-1,1,0,-N [H1 Z-1 Mg0],-1.293508229667638e-14
ring >c-N,0,2,0,ring >c-N [H2 Z0 Mg0],26.009515929311945
ring >c-N,1,3,0,ring >c-N [H3 Z1 Mg0],4.752370202443655e-15
-N<,1,1,0,-N< [H1 Z1 Mg0],4.09562462675052e-15
-N<,0,0,0,-N< [H0 Z0 Mg0],34.24248855996303
=N-,0,0,0,=N- [H0 Z0 Mg0],-258.7703754809984
=N-,1,1,0,=N- [H1 Z1 Mg0],-274.6098080457439
>N<,1,0,0,>N< [H0 Z1 Mg0],-2.5684905671089397e-14
=N=O,1,0,0,=N=O [H0 Z1 Mg0],3.465516989874862e-14
-O-CO-O-,0,0,0,-O-CO-O- [H0 Z0 Mg0],-1.5110447642126655e-14
ring -o-cO-,0,0,0,ring -o-cO- [H0 Z0 Mg0],-1.0488075682114332e-14
ring -O-CO-,0,0,0,ring -O-CO- [H0 Z0 Mg0],-249.47934203066424
-O-CO-,0,0,0,-O-CO- [H0 Z0 Mg0],-306.8624937076289
-O-C=O,0,0,0,-O-C=O [H0 Z0 Mg0],-9.389656974423126e-15
ring >c-O,0,1,0,ring >c-O [H1 Z0 Mg0],-176.92675521107054
ring >c-O,-1,0,0,ring >c-O [H0 Z-1 Mg0],-203.89968992443082
ring >C=O,0,0,0,ring >C=O [H0 Z0 Mg0],-139.15702451572486
ring >C-O,0,2,0,ring >C-O [H2 Z0 Mg0],-156.03552667688166
ring >C(-O)-,0,1,0,ring >C(-O)- [H1 Z0 Mg0],-172.0112232357392
ring >C(-O)-,-1,0,0,ring >C(-O)- [H0 Z-1 Mg0],-2.961962029429996e-15
-COO,-1,0,0,-COO [H0 Z-1 Mg0],-318.66972092610393
-COO,0,1,0,-COO [H1 Z0 Mg0],7.1020714782221146e-15
>C=O,0,0,0,>C=O [H0 Z0 Mg0],-116.70057021734122
-C=O,0,1,0,-C=O [H1 Z0 Mg0],-101.8993135432679
ring -o-,0,0,0,ring -o- [H0 Z0 Mg0],-1.3418281468895088e-14
ring -O-,0,0,0,ring -O- [H0 Z0 Mg0],-96.13305564908946
-C-O,0,3,0,-C-O [H3 Z0 Mg0],-140.53440705269634
-C-O,-1,2,0,-C-O [H2 Z-1 Mg0],5.858261926259287e-14
-C(-O)-,0,2,0,-C(-O)- [H2 Z0 Mg0],-153.33422156526083
-C(-O)-,-1,1,0,-C(-O)- [H1 Z-1 Mg0],2.1336959167892656e-14
>C(-O)-,0,1,0,>C(-O)- [H1 Z0 Mg0],-163.49293316061645
>C(-O)-,-1,0,0,>C(-O)- [H0 Z-1 Mg0],-1.4059896434883352e-14
[N]-O,0,1,0,[N]-O [H1 Z0 Mg0],4.128299057001853e-14
[N]-O,-1,0,0,[N]-O [H0 Z-1 Mg0],-4.004126173423376e-14
-O-,0,0,0,-O- [H0 Z0 Mg0],-118.30923610680864
-C#C-,0,1,0,-C#C- [H1 Z0 Mg0],8.194271496664335e-15
-C#C,0,1,0,-C#C [H1 Z0 Mg0],3.663553773045213e-15
-C#C,-1,0,0,-C#C [H0 Z-1 Mg0],-1.7237860670791795e-14
N#C-,0,0,0,N#C- [H0 Z0 Mg0],-4.6805520371220666e-14
3-ring =c<,0,0,0,3-ring =c< [H0 Z0 Mg0],-5.74438943210989e-15
2-ring >C<,0,0,0,2-ring >C< [H0 Z0 Mg0],-1.6452916310829177e-14
2-ring -C<,0,1,0,2-ring -C< [H1 Z0 Mg0],-176.25953646672485
2-ring -C-,0,2,0,2-ring -C- [H2 Z0 Mg0],-4.9142010377611045e-14
2-ring =C<,0,0,0,2-ring =C< [H0 Z0 Mg0],-162.00508788220344
(1+1)-ring =C<,0,0,0,(1+1)-ring =C< [H0 Z0 Mg0],14.934229278102304
2-ring =c<,0,0,0,2-ring =c< [H0 Z0 Mg0],13.24058485842719
ring =c-,0,1,0,ring =c- [H1 Z0 Mg0],29.248572740222528
ring =c<,0,0,0,ring =c< [H0 Z0 Mg0],14.112100186231029
ring =C<,0,0,0,ring =C< [H0 Z0 Mg0],-2.9464741031933976
ring =C-,0,1,0,ring =C- [H1 Z0 Mg0],34.589924007293206
=C-,0,1,0,=C- [H1 Z0 Mg0],45.762739324342895
=C,0,2,0,=C [H2 Z0 Mg0],56.697354642575384
=C<,0,0,0,=C< [H0 Z0 Mg0],36.4349686324853
ring >C<,0,0,0,ring >C< [H0 Z0 Mg0],-2.0894316164309754
>C<,0,0,0,>C< [H0 Z0 Mg0],-4.392975961537395
ring -C<,0,1,0,ring -C< [H1 Z0 Mg0],0.8841158689951014
-C<,0,1,0,-C< [H1 Z0 Mg0],1.0816393281863685
ring -C-,0,2,0,ring -C- [H2 Z0 Mg0],13.53371025098685
-C-,0,2,0,-C- [H2 Z0 Mg0],7.154576817180944
-C,0,3,0,-C [H3 Z0 Mg0],15.564154388478135
Origin,0,0,0,Origin [H0 Z0 Mg0],-53.889462809619594
