,id,sbo,bigg.reaction,ec-code,metanetx.reaction,rhea,formula,biocyc,kegg.reaction,sabiork,seed.reaction,reactome.reaction
32,TPI,SBO:0000176,TPI,5.3.1.1,MNXR104918,"['18587', '18588', '18586', '18585']",dhap_c <=> g3p_c,META:TRIOSEPISOMERIZATION-RXN,R01015,4,rxn00747,"['R-RNO-70481', 'R-MMU-70481', 'R-XTR-70481', 'R-SSC-70481', 'R-GGA-352927', 'R-SCE-70454', 'R-CEL-70481', 'R-PFA-70454', 'R-XTR-70454', 'R-BTA-70481', 'R-BTA-70454', 'R-GGA-352914', 'R-ATH-70481', 'R-CFA-70454', 'R-OSA-70454', 'R-HSA-70481', 'R-DRE-70454', 'R-DME-70481', 'R-OSA-70481', 'R-DRE-70481', 'R-ATH-70454', 'R-HSA-70454', 'R-SSC-70454', 'R-DDI-70454', 'R-SCE-70481', 'R-CFA-70481', 'R-PFA-70481', 'R-DDI-70481', 'R-SPO-70454', 'R-SPO-70481', 'R-RNO-70454', 'R-MMU-70454', 'R-CEL-70454', 'R-GGA-70481', 'R-GGA-70454', 'R-DME-70454']"
33,FBA,SBO:0000176,FBA,4.1.2.13,MNXR99459,"['14729', '14732', '14731', '14730']",fdp_c <=> dhap_c + g3p_c,,R01068,1338,rxn00786,
34,FBP,SBO:0000176,FBP,3.1.3.11,MNXR99465,"['11067', '11065', '11066', '11064']",fdp_c + h2o_c --> f6p_c + pi_c,,,2084,,
35,FRD7,SBO:0000176,FRD7,,MNXR99641,"['29190', '29189', '29187', '29188']",fum_c + q8h2_c --> q8_c + succ_c,,,,rxn09272,
36,FRUpts2,SBO:0000185,FRUpts2,,MNXR99662,,fru_e + pep_c --> f6p_c + pyr_c,,,,,
37,FUM,SBO:0000176,FUM,4.2.1.2,MNXR99705,"['12463', '12461', '12462', '12460']",fum_c + h2o_c <=> mal__L_c,META:FUMHYDR-RXN,R01082,256,rxn00799,"['R-TGU-451033', 'R-TGU-70982', 'R-HSA-70982', 'R-ATH-451033', 'R-SPO-70982', 'R-SPO-451033', 'R-XTR-451033', 'R-MMU-70982', 'R-DRE-70982', 'R-DME-70982', 'R-DME-451033', 'R-HSA-451033', 'R-SCE-451033', 'R-DDI-451033', 'R-OSA-451033', 'R-CFA-70982', 'R-XTR-70982', 'R-MMU-451033', 'R-OSA-70982', 'R-BTA-70982', 'R-DRE-451033', 'R-GGA-373141', 'R-RNO-451033', 'R-CEL-451033', 'R-ATH-70982', 'R-GGA-373145', 'R-CEL-70982', 'R-BTA-451033', 'R-SSC-451033', 'R-SCE-70982', 'R-CFA-451033', 'R-RNO-70982', 'R-GGA-70982', 'R-DDI-70982', 'R-GGA-451033', 'R-SSC-70982']"
38,G6PDH2r,SBO:0000176,G6PDH2r,"['1.1.1.363', '1.1.1.49']",MNXR99907,"['15842', '15843', '15841', '15844']",g6p_c + nadp_c <=> 6pgl_c + h_c + nadph_c,META:GLU6PDEHYDROG-RXN,R00835,"['1176', '6509']",rxn00604,
39,GAPD,SBO:0000176,GAPD,"['1.2.1.12', '1.2.1.59']",MNXR100040,"['10303', '10300', '10302', '10301']",g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c,META:GAPOXNPHOSPHN-RXN,R01061,7844,rxn00781,"['R-ATH-70482', 'R-DME-70449', 'R-PFA-70482', 'R-SPO-70449', 'R-DRE-70449', 'R-CEL-70449', 'R-CEL-70482', 'R-CFA-70449', 'R-MMU-70482', 'R-HSA-70449', 'R-OSA-70482', 'R-GGA-352956', 'R-RNO-70449', 'R-SCE-70449', 'R-SSC-70482', 'R-ATH-70449', 'R-GGA-70482', 'R-OSA-70449', 'R-GGA-352921', 'R-DDI-70449', 'R-SPO-70482', 'R-TGU-70482', 'R-SCE-70482', 'R-HSA-70482', 'R-DME-70482', 'R-PFA-70449', 'R-XTR-70449', 'R-DRE-70482', 'R-XTR-70482', 'R-GGA-70449', 'R-RNO-70482', 'R-SSC-70449', 'R-DDI-70482', 'R-TGU-70449', 'R-MMU-70449', 'R-CFA-70482', 'R-BTA-70449', 'R-BTA-70482']"
40,GLCpts,SBO:0000185,GLCpts,,MNXR100237,,glc__D_e + pep_c --> g6p_c + pyr_c,,,,"['rxn08612', 'rxn05226']",
41,GLNS,SBO:0000176,GLNS,6.3.1.2,MNXR100024,"['16172', '16171', '16169', '16170']",atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,META:GLUTAMINESYN-RXN,R00253,760,rxn00187,"['R-GGA-70606', 'R-RNO-70606', 'R-TGU-70606', 'R-DME-70606', 'R-CEL-70606', 'R-DRE-70606', 'R-XTR-70606', 'R-SPO-70606', 'R-ATH-70606', 'R-CFA-70606', 'R-BTA-70606', 'R-OSA-70606', 'R-SSC-70606', 'R-MMU-70606', 'R-HSA-70606', 'R-SCE-70606']"
42,GLNabc,SBO:0000185,GLNabc,3.6.3.21,MNXR100258,"['29895#1', '29897#1', '29898#1', '29896#1']",atp_c + gln__L_e + h2o_c --> adp_c + gln__L_c + h_c + pi_c,META:ABC-12-RXN,,,"['rxn11233', 'rxn05196', 'rxn05155', 'rxn11101', 'rxn08624']",
43,GLUDy,SBO:0000176,GLUDy,"['1.4.1.13', '1.4.1.3', '1.4.1.4']",MNXR100086,"['11613', '11614', '11612', '11615']",glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c,META:GLUTDEHYD-RXN,R00248,757,rxn00184,
44,GLUN,SBO:0000176,GLUN,"['6.3.5.2', '4.3.3.6', '6.3.5.5', '1.4.7.1', '6.3.5.4', '3.5.1.2', '6.3.4.2', '1.4.1.13', '3.5.1.38']",MNXR100030,"['15892', '15889', '15891', '15890']",gln__L_c + h2o_c --> glu__L_c + nh4_c,META:GLUTAMIN-RXN,R00256,762,rxn00189,"['R-TGU-70609', 'R-XTR-70609', 'R-SSC-70609', 'R-GGA-70609', 'R-DDI-70609', 'R-MMU-70609', 'R-DME-70609', 'R-RNO-70609', 'R-CEL-70609', 'R-BTA-70609', 'R-DRE-70609', 'R-HSA-70609', 'R-CFA-70609']"
45,GLUSy,SBO:0000176,GLUSy,1.4.1.13,MNXR100291,"['15503', '15501', '15504', '15502']",akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,META:GLUTAMATESYN-RXN,R00114,694,rxn00085,
46,GND,SBO:0000176,GND,"['1.1.1.44', '1.1.1.351']",MNXR100389,"['10116', '10117', '10118', '10119']",6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c,META:RXN-9952,R01528,108,rxn01115,"['R-PFA-71299', 'R-GGA-71299', 'R-HSA-71299', 'R-SPO-71299', 'R-XTR-71299', 'R-ATH-71299', 'R-TGU-71299', 'R-OSA-71299', 'R-MMU-71299', 'R-DRE-71299', 'R-SCE-71299', 'R-SSC-71299', 'R-DDI-71299', 'R-CFA-71299', 'R-DME-71299', 'R-BTA-71299', 'R-CEL-71299']"
47,ICDHyr,SBO:0000176,ICDHyr,1.1.1.42,MNXR100781,"['19629', '19630', '19631', '19632']",icit_c + nadp_c <=> akg_c + co2_c + nadph_c,,R00267,269,rxn00198,
48,ICL,SBO:0000176,ICL,4.1.3.1,MNXR100789,"['13248', '13245', '13246', '13247']",icit_c --> glx_c + succ_c,,R00479,911,rxn00336,
49,LDH_D,SBO:0000176,LDH_D,1.1.1.28,MNXR101037,"['16370', '16371', '16372', '16369']",lac__D_c + nad_c <=> h_c + nadh_c + pyr_c,META:DLACTDEHYDROGNAD-RXN,R00704,155,rxn00500,
50,MALS,SBO:0000176,MALS,2.3.3.9,MNXR101347,"['18181', '18182', '18184', '18183']",accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c,META:MALSYN-RXN,R00472,,rxn00330,
51,MDH,SBO:0000176,MDH,"['1.1.1.37', '1.1.1.299']",MNXR101439,"['21432', '21433', '21434', '21435']",mal__L_c + nad_c <=> h_c + nadh_c + oaa_c,META:MALATE-DEH-RXN,R00342,113,rxn00248,"['R-BTA-70979', 'R-BTA-198508', 'R-SCE-70979', 'R-GGA-70979', 'R-MMU-71783', 'R-RNO-71783', 'R-DDI-198508', 'R-CFA-71783', 'R-CFA-198508', 'R-ATH-70979', 'R-DME-198508', 'R-TGU-71783', 'R-HSA-71783', 'R-BTA-71783', 'R-DRE-198508', 'R-SPO-70979', 'R-GGA-71783', 'R-TGU-198508', 'R-GGA-372422', 'R-CEL-71783', 'R-XTR-70979', 'R-RNO-198508', 'R-MMU-70979', 'R-SPO-71783', 'R-ATH-71783', 'R-MMU-198508', 'R-DME-70979', 'R-TGU-70979', 'R-CEL-198508', 'R-DME-71783', 'R-DRE-70979', 'R-OSA-71783', 'R-SSC-198508', 'R-GGA-372855', 'R-SSC-70979', 'R-OSA-70979', 'R-GGA-373047', 'R-GGA-198508', 'R-SSC-71783', 'R-HSA-70979', 'R-CFA-70979', 'R-XTR-71783', 'R-HSA-198508', 'R-XTR-198508', 'R-SCE-71783', 'R-RNO-70979', 'R-DRE-71783', 'R-CEL-70979']"
52,ME1,SBO:0000176,ME1,"['1.1.1.38', '1.1.1.39']",MNXR101446,"['12655', '12654', '12653', '12656']",mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,META:1.1.1.39-RXN,R00214,141,rxn00159,
53,ME2,SBO:0000176,ME2,1.1.1.40,MNXR101443,"['18255', '18256', '18254', '18253']",mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,META:MALIC-NADP-RXN,R00216,142,rxn00161,
54,NADH16,SBO:0000185,NADH16,1.6.5.3,MNXR101864,,4.0 h_c + nadh_c + q8_c --> 3.0 h_e + nad_c + q8h2_c,,,,rxn08972,
55,NADTRHD,SBO:0000176,NADTRHD,"['1.6.1.3', '1.6.1.2', '1.6.1.1']",MNXR101898,"['11692', '11695', '11694', '11693']",nad_c + nadph_c --> nadh_c + nadp_c,META:PYRNUTRANSHYDROGEN-RXN,R00112,,rxn00083,
56,PDH,SBO:0000176,PDH,"['1.2.1', '1.8.1.4', '1.2.1.51', '1.2.4.1', '2.3.1.12']",MNXR102425,"['28043', '28045', '28044', '28042']",coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,META:PYRUVDEH-RXN,R00209,523,rxn00154,"['R-RNO-71397', 'R-OSA-71397', 'R-GGA-373177', 'R-DME-71397', 'R-TGU-71397', 'R-XTR-71397', 'R-CFA-71397', 'R-BTA-71397', 'R-HSA-71397', 'R-GGA-71397', 'R-SPO-71397', 'R-CEL-71397', 'R-DDI-71397', 'R-DRE-71397', 'R-SSC-71397', 'R-SCE-71397', 'R-ATH-71397', 'R-MMU-71397']"
